pair_id,loanword_example,native_example,loanword_wer,native_wer,wer_difference,loanword_transcript,native_transcript
es_024,hooligans,fanáticos violentos,0.8809523809523809,0.9069767441860465,-0.026024363233665526,"Las propuestas de la Comisión que discutimos permiten el menor que el 1 mayor, que lifting menor, que por litro 1 mayor que que necesita esta. Directiva.",Las propuestas de la Comisión que discutimos permiten el menor que N1 mayor que levantamiento de medidas menor que N1 mayor que Q. Necesita esta directiva.
es_025,tour operators,agencias de viajes,0.9636363636363636,0.9464285714285714,0.017207792207792227,"Para concluir, señor presidente, permítame recordar a los colegas que la directiva necesita un menor que él e uno mayor que no lug menor que por litro uno mayor que haga aún más. Atractivos los O y CW","Para concluir, señor presidente, permítame recordar a los colegas que la directiva necesita una menor que N1 mayor que nueva imagen menor que N1 mayor que que haga aún. Más atractivos los OICVM, pero "
es_026,show,espectáculo,1.0,1.0,0.0,"Todos estos hechos, que desgraciadamente se han sumado en el tiempo y en el lugar. Hacen que los desalmados, intolerantes, racistas y menor que él e uno mayor que Juligan's menor que por litro, uno ma","Todos estos hechos, que desgraciadamente se han sumado en el tiempo y en el lugar. Hacen que los desalmados, intolerantes, racistas y menor que N1 mayor que fanáticos violentos menor que N1 mayor que "
es_027,core business,negocio principal,0.8904109589041096,0.9041095890410958,-0.013698630136986245,"Señor Presidente, Señor Comisario, ya que hablamos de empleo. Quiero recordar el también muy serio asunto de las quebras de los mayoristas. Los menor que el 1 mayor que 2 operators menor que por litro","Señor Presidente, Señor Comisario, ya que hablamos de empleo. Quiero recordar el también muy serio asunto de las quebras de los mayoristas. Las menor que N1 mayor que agencias de viajes menor que N1 m"
es_028,activity based management,gestión basada en la actividad,1.0,1.0,0.0,"Y cuando surge algo más, no me parece bien que el orden del día de las distintas comisiones. Ya de por sí excesivamente cargado, sea siempre acortado a causa del menor que él e uno mayor que show meno","Y cuando surge algo más, no me parece bien que el orden del día de las distintas comisiones. Ya de por sí excesivamente cargado, sea siempre acortado a causa del menor que N1 mayor que espectáculo men"
es_029,test,examen,1.0,1.0,0.0,"señor presidente, señor comisario, señoras y señores diputados. La liberalización prevista de los servicios postales nacionales tradicionales su cita. Ineludiblemente la pregunta de ¿qué es lo que est","señor presidente, señor comisario, señoras y señores diputados, la liberalización prevista de los servicios postales nacionales tradicionales su cita, ineludiblemente la pregunta de qué es lo que esto"
es_030,lobbies,grupos de presión,1.0,1.0,0.0,Esta pregunta hay que responderla partiendo del hecho de que el monopólio tradicional de hecho está. Siendo socavado por toda suerte de empresas de mensajería y por los avances tecnológicos como él. M,Esta pregunta hay que responderla partiendo del hecho de que el monopolio tradicional de hecho está. Siendo socavado por toda suerte de empresas de mensajería y por los avances tecnológicos como él. M
es_031,policy mix,combinación de políticas,1.0,1.0,0.0,"En esta perspectiva, el llamado menor que L1 mayor que Activity Based Management menor que por litro 1 mayor que es el instrumento clave para garantizar una, correspondencia entre los objetivos, las a","En esta perspectiva, la llamado menor que N1 mayor que gestión basada en la actividad menor que N1 mayor que es el instrumento clave para garantizar una, correspondencia entre los objetivos, las accio"
es_032,stocks,existencias,0.9705882352941176,0.9705882352941176,0.0,"Por este motivo, estas constituyen un menor que el 1 mayor que test menor que por litro, 1 mayor que de credibilidad para la política exterior y de seguridad común, de la Unión.","Por este motivo, estas constituyen un menor que N1 mayor que examen menor que, N1 mayor que de credibilidad para la política exterior y de seguridad común. De la Unión."
es_033,green shipping conference,Conferencia sobre transporte marítimo ecológico,0.9344262295081968,0.9047619047619048,0.029664324746291992,"Pienso a sí mismo que no ha de subestimarse y le formulo una pregunta el poder y la fuerza de los. Menorque él e uno mayor que lovis menor que por litro, uno mayor que de los ministerios de asuntos ex",Pienso a sí mismo que no ha de subestimarse y le formulo una pregunta el poder y la fuerza de los. Menor que N1 mayor que grupos de presión menor que N1 mayor que de los ministerios de asuntos exterio
es_034,business,negocio,0.9473684210526315,0.9122807017543859,0.03508771929824561,"El menor que el 1 mayor que polis y mix menor que por litro, 1 mayor que que pongamos en marcha tendría que permitir precisamente la plena absorción. De estas capacidades.","La menor que N1 mayor que combinación de políticas menor que, N1 mayor que que pongamos en marcha tendría que permitir precisamente la. Plena absorción de estas capacidades."
es_035,software,programación,0.9056603773584906,0.9056603773584906,0.0,"No creo que el estado de los menor que él e uno mayor que stocks menor que por litro uno mayor que ni el escandaloso sistema actual de los descartes sean. Un buen ejemplo de la bondad del sistema, que","No creo que el estado de las menor que N1 mayor que existencias menor que, N1 mayor que ni el escandaloso sistema actual de los descartes. sean un buen ejemplo de la bondad del sistema, que requiere p"
es_036,corporate governance,gobierno corporativo,1.0,1.0,0.0,"Señor presidente, señor comisario, en tanto ponente de la directiva relativa a las instalaciones portuarias receptoras de desechos. Quiero hacer un par de observaciones. También de cara a la prevenció","Señor presidente, señor comisario, en tanto ponente de la directiva relativa a las instalaciones portuarias receptoras de desechos. Quiero hacer un par de observaciones. También de cara a la prevenció"
es_037,split comitology,comitología partida,1.0,1.0,0.0,"Sabemos que, en nombre de los empresarios, la unís descubre su juego en los documentos preparatorios de la CUMRE Europea del. Menorque el 1 mayor que business menor que por litro 1 mayor que prevista ","Sabemos que, en nombre de los empresarios, la unís descubre su juego en los documentos preparatorios de la CUMRE Europea del. Menorque N1 mayor que negocio menor que, N1 mayor que prevista en junio en"
es_038,on line,en línea,0.9130434782608695,0.8840579710144928,0.02898550724637672,los incrementos en los medios de comunicación. En la telefonía móvil y en el menor que el 1 mayor que software menor que por litro 1 mayor que no han podido compensar las pérdidas de empleo en. El sec,los incrementos en los medios de comunicación. En la telefonía móvil y en la menor que N1 mayor que programación menor que N1 mayor que no han podido compensar las pérdidas de empleo. En el sector de 
es_039,capacity building,generación de capacidad,1.0,1.0,0.0,"Por lo tanto, quisiera reabrir el debate acerca del menor que él e uno mayor que corporate governance menor que por litro uno mayor que sobre el concepto más amplio de. La empresa como menor que él e ","Por lo tanto, quisiera reabrir el debate acerca del menor que N1 mayor que gobierno corporativo menor que N1 mayor que sobre el concepto más amplio de. La empresa como menor que N2 mayor que sociedade"
es_040,smart sanctions,sanciones inteligentes,0.9038461538461539,0.9230769230769231,-0.019230769230769273,"En esta materia, hemos recomendado durante la tramitación un llamado menor que el 1 mayor que split comitó la G menor que por litro 1 mayor que que podría ser de inestimable ayuda.","En esta materia, hemos recomendado durante la tramitación una llamada menor que N1 mayor que comitología partida menor que N1 mayor que que podría ser de inestimable ayuda."
es_041,club,agrupación,1.0,1.0,0.0,"No tengo tiempo para detenerme en otros aspectos elusivos y moderados. Demasiado moderados de su programa. Medio ambiente, salud, justicia, transportes, seguridad, además de la precipitada ampliación ","No tengo tiempo para detenerme en otros aspectos elusivos y moderados. Demasiado moderados de su programa. Medio ambiente, salud, justicia, transportes, seguridad, además de la precipitada ampliación "
es_042,lobby,grupo de presión,1.0,1.0,0.0,"Esta es la razón por la cual se debe también tener en cuenta lo que llamamos menor que el 1 mayor que capacity. Building menor que por litro, 1 mayor que. Es decir, las medidas de asistencia técnica q","Esta es la razón por la cual se debe también tener en cuenta lo que llamamos menor que N1 mayor que generación de. Capacidad menor que, N1 mayor que, es decir, las medidas de asistencia técnica que ha"
es_043,boom,auge,1.0,1.0,0.0,La necesidad de intervenir en los ataques a periodistas independientes. La necesidad de defender a insumisos y a desertores. Así como la necesidad de desarrollar sanciones inteligentes. Menorque él e ,La necesidad de intervenir en los ataques a periodistas independientes. La necesidad de defender a insumisos y a desertores. Así como la necesidad de desarrollar sanciones inteligentes. Menorque N1 ma
es_044,hardware,componentes informáticos,1.0,0.9347826086956522,0.06521739130434778,"Es una mezcla entre la señora Bonino y el señor Le Pen, lo cual es una mezcla sensacional de por sí. Además de que este menor que él e uno mayor que club menor que por litro uno mayor que no participa","Es una mezcla entre la señora Bonino y el señor Le Pen, lo cual es una mezcla sensacional de por sí. Además de que esta menor que N1 mayor, que agrupación menor, que N1 mayor, que no participan nunca "
es_045,session news,boletín de sesión,1.0,1.0,0.0,"E aquí, en efecto, la nueva directiva que se nos presenta hoy aplicada hasta las últimas consecuencias. Y que podría perfectamente terminar por sustituir a la definición del chocolate que conocemos. E","E aquí, en efecto, la nueva directiva que se nos presenta hoy aplicada hasta las últimas consecuencias, y que podría perfectamente terminar por sustituir a la definición del chocolate que conocemos. E"
es_046,phasing out,reducción progresiva,0.8961038961038961,0.922077922077922,-0.025974025974025983,Al menor que el 1 mayor que 1 menor que por litro 1 mayor que de la tecnología de la información se enfrentan fusiones y despidos.,"Al menor que N1 mayor que auge menor que, N1 mayor que de la tecnología de la información se enfrentan fusiones y despidos."
es_047,hushkits,dispositivos de silencio,1.0,1.0,0.0,"Las ciudadanas y ciudadanos tienen que familiarizarse con unas nuevas formas y relaciones de. Trabajo en la industria de la información y de la comunicación, tanto en el sector del menor que L1 mayor ","Las ciudadanas y ciudadanos tienen que familiarizarse con unas nuevas formas y relaciones de. Trabajo en la industria de la información y de la comunicación, tanto en el sector de los menor que N1 may"
es_048,leasing,alquiler con opción de compra,1.0,0.9387755102040817,0.061224489795918324,Una depreciación de un 10% del dólar y del menor que el 1 mayor que y en menor que por litro 1 mayor que con respecto al euro. Acompañada de una caída del 10% del precio del oro. Borraría todo el capi,Una depreciación de un 10% del dólar y del menor que N1 mayor que N1 mayor que con respecto al euro. Acompañada de una caída del 10% del precio del oro. Borraría todo el capital actual del B.C.
es_049,bypass ratio,relación de derivación,1.0,1.0,0.0,"Acabo de recibir de manos de un colega la menor que él e uno mayor que Session News, menor que por litro uno mayor que acerca del debate de ayer sobre él. Informe Lucford, y he de constatar con conste","Acabo de recibir de manos de un colega el menor que N1 mayor que boletín de sesión menor que, N1 mayor que acerca del debate de ayer. Sobre el informe Lutford, y he de constatar con consternación que "
es_050,brand-new start,nuevo comienzo,1.0,1.0,0.0,"Primera, que vamos a buscar unos mejores estándares internacionales en el marco de la OACI. Que vamos a colaborar en el seno de OACI, y que vamos a buscar un objetivo común. Que es reducir, todavía má","Primera, que vamos a buscar unos mejores estándares internacionales en el marco de la OACI. Que vamos a colaborar en el seno de OACI, y que vamos a buscar un objetivo común. Que es reducir, todavía má"
es_051,trading,transacciones bursátiles,1.0,1.0,0.0,Son muchos los que venen el tema de los menor que el 1 mayor que Josh Kitz menor que por litro 1 mayor que el primer caso de como el nuevo. Parlamento y la nueva comisión tratarán los temas de la avia,"son muchos los que venen el tema de los menor que N1 mayor que dispositivos de silencio menor que, N1 mayor que el primer caso de como. El nuevo parlamento y la nueva comisión tratarán los temas de la"
es_052,black vengeance angels,ángeles de la venganza,1.0,1.0,0.0,"Esto ha gustado a las poderosas empresas norteamericanas, como fabricantes de aviones, pero les perjudica porque al mismo tiempo son inversoras propietarias de miles de aeronaves. Arrendadas en menor ","Esto ha gustado a las poderosas empresas norteamericanas, como fabricantes de aviones, pero les perjudica porque al mismo tiempo son inversoras propietarias de miles de aeronaves. Arrendadas en menor "
es_053,self regulation,autorregulación,1.0,1.0,0.0,"Hemos propuesto a los norteamericanos si es que consideran que esta definición de los menor que el 1 mayor que vaipas. Ratio menor que por litro, 1 mayor que suponen discriminación. Nosotros entendemo","Hemos propuesto a los norteamericanos si es que consideran que esta definición de los menor que N1 mayor que relación. De derivación menor que, N1 mayor que ratio suponen discriminación. Nosotros ente"
es_054,marketing,mercadotecnica,1.0,1.0,0.0,"Conclusión, es necesaria una nueva fase, con las presidencias portuguesa y francesa. Un menor que él e uno mayor que brand new start, menor que por litro, uno mayor que de la política euro-mediterráne","Conclusión, es necesaria una nueva fase, con las presidencias portuguesa y francesa, un menor que N1 mayor que nuevo comienzo menor que N1 mayor que de la política euro-mediterránea. Que pueda impulsa"
es_055,one man,un hombre,1.0,1.0,0.0,"Por otro lado, tenemos los sistemas de menor que el 1 mayor que trading menor que por litro, 1 mayor que que acaban de nacer en los países bajos. En Dinamarca y en los que seguirán existiendo muchos p","Por otro lado, tenemos los sistemas de menor que N1 mayor que transacciones bursátiles menor que N1 mayor que que acaban de nacer en los países bajos. En Dinamarca y en los que seguirán existiendo muc"
es_056,shopping list,lista de la compra,1.0,1.0,0.0,"Todos los colegas deben comprender por fin que sí bien, en nuestra calidad de parlamentarios. Debemos cumplir con el máximo rigor nuestras tareas de control. Sin embargo, no somos detectives nifiscale","Todos los colegas deben comprender por fin que sí bien, en nuestra calidad de parlamentarios. Debemos cumplir con el máximo rigor nuestras tareas de control, sin embargo no somos detectives nifiscales"
es_057,pay as you go,de prepago,1.0,1.0,0.0,En toda nueva legislación tenemos que establecer un mejor equilibrio entre la menor que el 1 mayor que self. Regulación menor que por litro 1 mayor que y la menor que el 2 mayor que public regulation ,En toda nueva legislación tenemos que establecer un mejor equilibrio entre la. Menor que N1 mayor que autorregulación menor que N1 mayor que y la menor que N2 mayor que regulación pública menor que N2
es_058,fair trade,de comercio justo,1.0,1.0,0.0,"En segundo lugar, a menudo lo que los directores de menor que el 1 mayor que marketing menor que por litro, 1 mayor que denominarían los suministros son diferentes.","En segundo lugar, a menudo lo que los directores de menor que N1 mayor que mercado técnica menor que, N1 mayor que denominarían los suministros son diferentes."
es_059,eslogan,lema,1.0,1.0,0.0,El principio subiescente menor que el 1 mayor que 1 man menor que por litro 1 mayor que menor que el 2 mayor que 1 boté menor que por litro 2 mayor que es inaceptable.,"El principio subiescente menor que N1 mayor, que 1 hombre menor, que N1 mayor, que menor, que N2 mayor, que 1 voto menor, que N2 mayor, que es inaceptable."
es_060,feedback,respuesta,0.967741935483871,0.9516129032258065,0.016129032258064502,Pero para mí es tranquilizador que tantos colegas estén de acuerdo en reconocer que las propuestas. Contenidas en 52 apartados y 58 subapartados constituyan una menor que el 1 mayor que shopping list ,Pero para mí es tranquilizador que tantos colegas estén de acuerdo en reconocer que las propuestas. Contenidas en 52 apartados y 58 subapartados constituyan una menor que N1 mayor que lista de la comp
es_061,an early bird catches the worm,el pájaro que madruga atrapa al gusano,1.0,1.0,0.0,"Uno es el pilar obligatorio. El sistema menor que él e uno mayor que Pei ha sido un menor que por litro, uno mayor que. El otro es el sistema de capitalización, que se sitúa por encima de aquel. El pr","Uno es el pilar obligatorio. El sistema menor que N1 mayor que deprepago menor que N1 mayor que. El otro es el sistema de capitalización, que se sitúa por encima de aquel. El problema es que todos los"
es_062,fuel,combustóleo,0.9024390243902439,0.9024390243902439,0.0,La enmienda 34 exige que los plátanos menor que el 1 mayor que Fairtrade menor que por litro 1 mayor que sean apoyados independientemente del país. De origen.,"La enmienda 34 exige que los plátanos menor que N1 mayor que de comercio justo menor que, N1 mayor que sean apoyados independientemente, del país de origen."
es_063,confort,comodidad,1.0,1.0,0.0,para que esto resulte visible. Parece preferible que los dos socios utilicen en las actividades previstas un emblema I y I. Menorque L1 mayor que es logán menor que por litro 1 mayor que identicos.,"Para que esto resulte visible, parece preferible que los dos socios utilicen en las actividades previstas un emblema I y I. Menorque N1 mayor que Lema menor que N1 mayor que identicos."
es_064,gap,brecha,1.0,1.0,0.0,"En la actualidad es así, que al yogur, si se le agregan edulcorantes u otros productos adicionales. Es un producto no incluido en el anexo primero. Si es un menor que él e uno mayor que yogur menor qu","En la actualidad es así, que al yogur, si se le agregan edulcorantes u otros productos adicionales. Es un producto no incluido en el anexo primero. Si es un menor que N1 mayor que yogur menor que N1 m"
es_065,relax,relajamiento,0.9333333333333333,0.9111111111111111,0.022222222222222254,"Los informes médicos han señalado que en las zonas circundantes a los aeropuertos se producen. Problemas de salud inacceptablemente graves. Como insomnio, alta tensión. Menorque el 1 mayor que estrés ","Los informes médicos han señalado que en las zonas circundantes a los aeropuertos se producen. Problemas de salud inacceptablemente graves. Como insomnio, alta tensión, menor que N1 mayor que estrés m"
es_066,handicap,obstáculo,1.0,1.0,0.0,Tenemos un sistema que va a ser administrado por los usuarios y me gustaría. Adelantando me dado que confiamos en conseguir que esta directiva salga adelante. Decirle esta tarde a la comisión que es n,Tenemos un sistema que va a ser administrado por los usuarios y me gustaría. Adelantando me dado que confiamos en conseguir que esta directiva salga adelante. Decirle esta tarde a la comisión que es n
es_067,roaming,de itinerancia,1.0,0.9761904761904762,0.023809523809523836,"Desde el punto de vista de la alta tasa de desempleo que se sigue manteniendo en Europa conviene. Recordar, como dice el refrán, que menor que él e uno mayor que Annerley Bird hatches the worm menor q","Desde el punto de vista de la alta tasa de desempleo que se sigue manteniendo en Europa con viene. Recordar, como dice el refrán, que menor que N1 mayor que el pájaro que madruga atrapa al gusano meno"
es_068,tándem,pareja,1.0,1.0,0.0,El deseo de mantener esta elevada ayuda por hectárea al cultivo del cañamo es en realidad fruto de. Una muy extraña colaboración entre aquellos que quieren la legalización del menor que él e uno mayor,El deseo de mantener esta elevada ayuda por hectárea al cultivo del cañamo es en realidad fruto de. Una muy extraña colaboración entre aquellos que quieren la legalización del menor que N1 mayor que H
es_069,gendarme,agente de policía,1.0,0.9622641509433962,0.037735849056603765,y para economizar incluso menor que el 1 mayor que fue el menor que por litro 1 mayor que en la fabricación de las harinas disminuyeron la. Temperatura de cocción permitiendo así que sobreviviera el a,"Y para economizar incluso menor que N1 mayor que combustole o menor que, N1 mayor que en la fabricación de las harinas disminuyeron la. Temperatura de cocción permitiendo así que sobreviviera el agent"
es_070,platform,platforma,1.0,1.0,0.0,"Cada país tiene su reglamento particular que regula la velocidad, seguridad y el menor que el 1 mayor que confort menor que por litro 1 mayor que del viaje. Solo se permite circular por la red si se c","Cada país tiene su reglamento particular que regula la velocidad, seguridad y la menor que N1 mayor que comodidad menor que N1 mayor que del viaje. Sonos se permite circular por la red si se cumple en"
es_071,know how,conocimiento,1.0,1.0,0.0,"será necesario emprender el camino de las reformas que los estados miembros deberán acometer. Necesariamente para reducir las cargas que pesan sobre las empresas. Reducir el coste laboral, respaldar l","será necesario emprender el camino de las reformas que los estados miembros de Verán a cometer. Necesariamente para reducir las cargas que pesan sobre las empresas. Reducir el coste laboral, respaldar"
es_072,impasse,punto muerto,1.0,1.0,0.0,"Las líneas de alta velocidad deben concebirse sobre todo para el turismo. El menor que el 1 mayor que relax menor que por litro, 1 mayor que y el recreo de todos los ciudadanos europeos. Especialmente",Las líneas de alta velocidad deben concebirse sobre todo para el turismo. El menor que N1 mayor que relajamiento menor que N1 mayor que y el recreo de todos los ciudadanos europeos. Especialmente de l
es_073,think tank,laboratorios de ideas,1.0,1.0,0.0,"Las diferencias nacionales representan un menor que él e uno mayor que handicap menor que por litro, uno mayor que importante para el desarrollo del transporte por ferrocarril en Europa, a pesar de la","Las diferencias nacionales representan un menor que N1 mayor que obstáculo menor que N1 mayor que importante para el desarrollo del transporte por ferrocarril en Europa, a pesar de las numerosas venta"
es_074,pizza-service without delivery,servicio de pizza sin reparto,1.0,1.0,0.0,"La comisión debe encargarse en lo sucesivo con más empeño de que las tarifas llamadas. Menorque el 1 mayor que roaming menor que por litro, 1 mayor que que los operadores cobran a sus clientes de sien","La Comisión debe encargarse en lo sucesivo con más empeño de que las tarifas llamadas menor que N1 mayor que D. Y Tinerancia menor que, N1 mayor que que los operadores cobran a sus clientes desciendan"
